Time (Local),Type,Notes,Photo Link
2022-04-30 23:47:20,food,JJ 7,
2022-04-27 09:05:53,food,Athletic greens,
2022-04-26 20:07:31,food,Almond butter Ezekiel toast,
2022-04-26 17:47:35,food,Chips and guacamole,
2022-04-26 17:34:25,food,Margarita,
2022-04-26 16:22:31,food,kombucha,https://levels.imgix.net/food-log/ai2wqluhixm3nynqtaf803.jpg
2022-04-26 13:39:10,food,Almond butter toast and leftover bbq,https://levels.imgix.net/food-log/926bfzejaef51rpqpa2bwc.jpg
2022-04-26 12:39:54,food,Kale orzo salad,https://levels.imgix.net/food-log/25k0iyr9x6yty15nahiihc.jpg
2022-04-26 10:40:14,food,"Muesli with almond butter, chia seeds, collagen, creatine, kefir, cinnamon alongisde coffee",https://levels.imgix.net/food-log/keochaflsvhcqut30i4rlu.jpg
2022-04-26 10:00:31,food,Athletic greens,
2022-04-25 19:06:42,food,Bbq,https://levels.imgix.net/food-log/34g8y6g6q364zfpulbn1yr.jpg
2022-04-25 18:16:53,food,raspberry,https://levels.imgix.net/food-log/xqusmitb19dxgqbl19nj4.jpg
2022-04-25 17:39:07,food,Sardines,https://levels.imgix.net/food-log/rjpafucby4erjlc2mhse7.jpg
2022-04-25 12:24:31,food,Kale orzo salad,https://levels.imgix.net/food-log/o1nhyc38srmzxwpxi9u4j.jpg
2022-04-25 11:17:10,food,"Muesli with almond butter, chia seeds, collagen, creatine, kefir and althetic greens",https://levels.imgix.net/food-log/pbtk1qrhh1rmu6493lfc.jpg
2022-04-28 10:02:26,food,"Muesli with almond butter, chia seeds, collagen, creatine, kefir, cinnamon alongisde coffee",https://levels.imgix.net/food-log/tmyyykxv53nzkus2s0fzv.jpg
2022-04-27 19:38:50,food,"Chicken breast, broccoli, cauliflower rice",
2022-04-27 19:00:43,food,Bone broth,
2022-04-27 15:13:12,food,"3 eggs, butter toast, almond butter toast",https://levels.imgix.net/food-log/i71vimougeju3e99pn8eh.jpg
