Time (Local),Type,Notes,Photo Link
2022-10-24 08:37:55,note,Supplement: athletic greens,
2022-10-24 08:38:04,food,Muesli,https://levels.imgix.net/food-log/ciqpw6ga7uxfk62h41ixp.jpg
2022-10-24 08:40:30,note,Coffee: pour over,https://levels.imgix.net/food-log/pnrd7rloa19hnl96ckvn49.jpg
2022-10-24 08:51:26,note,"Supplement: vitamin d3, 5000 IU; fish oil, 800 mg EPA, 600 mg DHA; magnesium oxide, 400 mg; slowmag, 2 capsules; probiotic;",
2022-10-24 11:23:24,food,Sardines,
2022-10-24 14:32:10,food,"4 eggs with cilantro and spinach, avocado toast and almond butter toast",https://levels.imgix.net/food-log/h78709ihdybwcwdc7i8wi.jpg
2022-10-24 16:48:58,food,Leftover orzo and chicken soup,
2022-10-24 19:19:30,food,Protein bar,https://levels.imgix.net/food-log/ad1p7lycpiphciukvspg08.jpg
2022-10-25 08:51:27,note,Supplement: athletic greens,
2022-10-25 09:03:30,food,Muesli,https://levels.imgix.net/food-log/2gab3900nj4wz8griq1zh.jpg
2022-10-25 09:03:40,note,Coffee: pour over,https://levels.imgix.net/food-log/tzsmfkgenohmo8nhaz392e.jpg
2022-10-25 09:30:49,note,"Supplement: vitamin d3, 5000 IU; fish oil, 800 mg EPA, 600 mg DHA; magnesium oxide, 400 mg; slowmag, 2 capsules; probiotic;",
2022-10-25 13:50:43,food,4 eggs and avocado toast,https://levels.imgix.net/food-log/75pbnwkdqrk78c9raxqff8.jpg
